"G","1","fdg  "
"F","1","F,D,G,"
"G","2","A^F/G/B/g/"
"F","2","[G,2B,,2]z"
"G","3","gce"
"F","3","[E,2C,2]z"
"G","4","g!trill!d2"
"F","4","G,,/B,,/G,B,"
"G","5","[g2d2B2G2]z"
"F","5","G,,G,/=F,/E,/D,/"
"G","6","Gce"
"F","6","[E,2C,2]z"
"G","7","e/c/e/g/c'/g/"
"F","7","[G,2C,2]z"
"G","8","c2z"
"F","8","C,G,,C,,"
"G","9","[ec][dB]z"
"F","9","G,2G,,"
"G","10","B/A/B/c/d/B/"
"F","10","G,2z"
"G","11","e/c/B/A/G/^F/"
"F","11","C,D,D,,"
"G","12","[cE][cE][cE]"
"F","12","C,C,C,  "
"G","13","(cGE)"
"F","13","[E,2G,2]z"
"G","14","c2z"
"F","14","C,G,,C,,"
"G","15","eg/e/c"
"F","15","[G,2C,2][E,C,]"
"G","16","(a^fd)"
"F","16","[^F,2D,2][F,C,]"
"G","17","c/G/c/e/G/c/"
"F","17","[G,2E,2]z"
"G","18","(Gce)"
"F","18","[E,2C,2][G,C,]"
"G","19","e/c/eg"
"F","19","[G,2C,2][E,C,]"
"G","20","gb/d'/d"
"F","20","B,,2z"
"G","21","c/e/g/d/A/^f/"
"F","21","C,D,D,,"
"G","22","ecG  "
"F","22","C,2z"
"G","23","f/e/d/e/f/g/"
"F","23","A,/G,/F,/G,/A,/B,/"
"G","24","[g2d2B2G2]z"
"F","24","G,,G,/=F,/E,/D,/"
"G","25","D/^F/A/d/^f/a/"
"F","25","D,2C,"
"G","26","[ec][ec][ec]"
"F","26","C,/E,/G,/E,/C/C,/"
"G","27","f/e/f/d/c/B/"
"F","27","[B,2G,2]z"
"G","28","^f/d/A/a/f/d/"
"F","28","[A,2C,2]z"
"G","29","B/d/g/d/B"
"F","29","G,2G,,"
"G","30","[g2d2B2G2]z"
"F","30","G,,G,/=F,/E,/D,/"
"G","31","e/c/G e"
"F","31","[G,2C,2][G,C,]"
"G","32","Gce"
"F","32","[E,2C,2]z"
"G","33","[g2d2B2G2]z"
"F","33","G,,G,/=F,/E,/D,/"
"G","34","e/c/d/B/G"
"F","34","G,2z"
"G","35","Ad^f"
"F","35","[^F,2D,2][A,C,]"
"G","36","A/e/d/g/^f/a/"
"F","36","C,D,D,,"
"G","37","g/b/g/d/B"
"F","37","[D,2B,,2]z"
"G","38","cGe"
"F","38","[E,/C,/]G,/[E,/C,/]G,/[E,/C,/]G,/"
"G","39","gGG"
"F","39","B,,/D,/G,/D,/B,/G,,/"
"G","40","c/B/c/e/G/c/"
"F","40","[E,2C,2]z"
"G","41","c/B/c/e/G"
"F","41","[E,2C,2]z"
"G","42","B/c/d/B/A/G/"
"F","42","G,,2z"
"G","43","gf/e/d/c/"
"F","43","[E,2C,2]z"
"G","44","Af/d/a/g/"
"F","44","F,2G,"
"G","45","c/B/c/G/E/C/"
"F","45","[G,2E,2]z"
"G","46","gb/g/d/B/"
"F","46","[D,2B,,2]z"
"G","47","gg/d/b"
"F","47","[D,2B,,2]z"
"G","48","ec/e/g/c'/"
"F","48","[G,2C,2][E,C,]"
"G","49","(ecG)"
"F","49","[E,/C,/]G,/[E,/C,/]G,/[E,/C,/]G,/"
"G","50","ce/c/G"
"F","50","[G,2E,2]z"
"G","51","c/G/e/c/g/e/"
"F","51","[E,2C,2]z"
"G","52","(d/^c/)d/f/G/B/"
"F","52","F,2G,"
"G","53","[ec][e/c/][f/d/][ge]"
"F","53","C,2z"
"G","54","[cE][cE][cE]"
"F","54","C,C,C,  "
"G","55","gbd"
"F","55","[D,2B,,2]z"
"G","56","d/B/Gz"
"F","56","[G,2G,,2]G,"
"G","57","ecG"
"F","57","[E,/C,/]G,/[E,/C,/]G,/[E,/C,/]G,/"
"G","58","gec"
"F","58","[E,/C,/]G,/[E,/C,/]G,/[E,/C,/]G,/"
"G","59","gce"
"F","59","[E,/C,/]G,/[E,/C,/]G,/[E,/C,/]G,/"
"G","60","gf/e/d/c/"
"F","60","[E,2C,2]z"
"G","61","ce/c/g"
"F","61","[G,2E,2]z"
"G","62","e/c/B/G/A/^F/"
"F","62","C,D,D,,"
"G","63","e/c/B/c/G"
"F","63","C,2z"
"G","64","e/g/c'/g/e/c/"
"F","64","[G,2C,2][G,C,]"
"G","65","d/A/d^f"
"F","65","^F,2z & D,2x"
"G","66","^faf"
"F","66","A,^F,D, & D,D,C,"
"G","67","c/B/c/e/G/c/"
"F","67","[E,2C,2][G,E,]"
"G","68","gb/g/d/g/"
"F","68","B,,2z"
"G","69","(gec)"
"F","69","[C,2E,2]z"
"G","70","^fa/f/d/f/"
"F","70","D,2C,"
"G","71","g/b/d'/b/g"
"F","71","[D,2B,,2][D,B,,]"
"G","72","f/e/d/c/B/d/"
"F","72","F,2G,"
"G","73","gec"
"F","73","[E,/C,/]G,/[E,/C,/]G,/[E,/C,/]G,/"
"G","74","c'/b/c'/g/e/c/"
"F","74","E,2z & C,2x"
"G","75","[^fd][fd][fd]"
"F","75","C,C,C,  "
"G","76","c'/b/c'/g/e/c/"
"F","76","[E,2C,2][G,C,]"
"G","77","g/b/gd"
"F","77","[D,2B,,2][G,B,,]"
"G","78","cCz"
"F","78","C,2C,,"
"G","79","c2z"
"F","79","C,G,,C,,"
"G","80","d!turn!A^f"
"F","80","C,2z"
"G","81","[g2d2B2G2]z"
"F","81","G,,G,/=F,/E,/D,/"
"G","82","d/B/Gg"
"F","82","G,2 [D,B,,] & B,,2 x"
"G","83","c2z"
"F","83","C,G,,C,,"
"G","84","c/G/e/c/g/e/"
"F","84","[E,2C,2]z"
"G","85","ceG"
"F","85","[G,2E,2]z"
"G","86","dd/g/b"
"F","86","[G,2B,,2]z"
